seed,scenario,controller,p95_ms,p99_ms,violation_pct,served_iops,queue_depth,actions,fairness,decision_us
0,nominal,static,10.003093194691706,11.973399430009747,16.770833333333332,17759.3342008965,35.30854317899923,0,0.9519371232906118,0.09062083333333333
0,nominal,reactive,8.587985000593246,10.279557803740408,0.8333333333333334,17793.188463524388,14.1545319157814,10,0.9999801925379488,1.9714583333333333
0,nominal,predictive,7.659605579668241,9.168315769602884,0.0,17803.331375949565,5.669380761337011,43,1.0,20.366195833333336
0,nominal,predictive_no_forecast,7.515011718500262,8.995241299416973,0.0,17803.613049503118,4.7671950431524115,12,1.0,3.000983333333333
0,nominal,mpc,7.915729976441947,9.474888911195665,0.10416666666666667,17800.10263935722,8.155309996099295,25,0.9999979079777933,25.272180555555554
1,nominal,static,10.36157679008529,12.40249343055664,21.354166666666664,17745.777604840627,36.652829564546884,0,0.9595179843156492,0.0925125
1,nominal,reactive,8.466941207421623,10.134672051307684,6.458333333333334,17801.54948372128,15.06184854586001,39,0.999397963113852,2.6012222222222223
1,nominal,predictive,7.264489171179441,8.695373401866316,0.1388888888888889,17817.058158171385,2.310669764787666,40,0.9999982543591904,22.582877777777778
1,nominal,predictive_no_forecast,7.335877704423835,8.780823312870949,0.0,17818.413335985813,3.1581940104696806,13,1.0,2.77605
1,nominal,mpc,7.369491199566734,8.821057647966242,0.5902777777777778,17815.346627578372,3.6283816960556816,23,0.9999679604032778,21.62065
2,nominal,static,10.557023647238227,12.636437395936666,22.46527777777778,17760.593567072574,41.123954020024044,0,0.9536024124671661,0.09350277777777778
2,nominal,reactive,10.193225959451807,12.200982587828694,11.666666666666666,17789.96715497844,25.261539085972856,78,0.999465873949253,3.172502777777778
2,nominal,predictive,7.320881273175318,8.76287303910378,0.0,17804.53631607499,2.1493557077831764,42,1.0,19.859679166666666
2,nominal,predictive_no_forecast,7.513557789424792,8.993500990372093,0.0,17803.84632904494,3.9469697384682325,16,1.0,2.7630250000000003
2,nominal,mpc,7.751896964519293,9.278785760560963,0.1388888888888889,17800.381358991315,7.236874801637304,26,0.999993434663095,20.283369444444446
3,nominal,static,9.815920798107705,11.749359743189522,18.4375,17789.524771937547,33.182308383281004,0,0.9578849924028936,0.091825
3,nominal,reactive,9.97400096935917,11.9385769178693,1.1805555555555556,17811.962419223833,23.189201735301825,11,0.9999564100774805,1.9459069444444443
3,nominal,predictive,7.505384592043731,8.983717920779629,0.5208333333333333,17825.993794209266,5.239396343059468,45,0.9999418330747297,19.386019444444447
